UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
11,1,18,8,8,1000,1.627170195
11,1,43,8,9,3000,1.762774289
11,0,41,8,8,1200,1.717912089
11,0,45,2,4,2500,1.824766752
11,0,25,8,12,1300,1.686037074
11,1,40,2,11,827,1.605269929
11,0,51,8,5,1200,1.806127394
11,0,30,8,12,2100,1.710758902
11,0,77,8,1,0,1.800514911
11,1,27,8,6,35,1.713557882
11,0,20,8,9,1300,1.64556071
11,0,58,8,1,700,1.696035984
11,0,33,8,6,800,1.739771463
11,1,38,2,12,1500,1.678607347
11,1,39,8,5,300,1.746847063
11,1,50,8,1,200,1.739222554
11,0,22,2,10,2000,1.711819574
11,0,30,8,12,788,1.714301023
11,0,59,8,9,2000,1.69846794
11,0,75,2,1,300,1.691659565
11,0,51,8,12,3800,1.714948765
11,0,36,4,12,2000,1.696446939
11,0,35,2,14,5000,1.674291452
11,0,46,4,12,3800,1.632864158
11,1,60,8,6,1000,1.703384883
11,0,29,8,12,5000,1.705588902
11,1,24,8,12,1600,1.8708646
11,1,56,8,6,1500,1.653398054
11,0,62,8,3,900,1.734637234
11,0,47,8,12,3000,1.767155267
11,1,45,4,11,1800,1.636917275
11,0,45,8,6,500,1.801652212
11,0,57,8,4,1500,1.764778947
11,0,38,8,15,5000,1.775783543
11,0,41,2,12,3000,1.636514241
11,0,40,8,16,1200,1.772920659
11,0,39,8,16,1200,1.792668542
11,0,35,8,5,1200,1.822955781
11,0,42,8,1,3500,1.734192423
11,1,46,8,10,1200,1.668984881
12,1,36,8,12,789,1.725659799
12,0,31,8,14,2300,1.783919213
12,0,39,8,11,2300,1.724557687
12,0,23,8,12,1000,1.819234829
12,0,47,8,12,722,1.689023629
12,0,43,2,6,4000,1.725578775
12,0,48,8,1,780,1.631519022
12,0,36,8,6,1500,1.724782106
12,0,44,4,11,788,1.789757822
12,0,33,8,9,788,1.626599571
12,0,34,8,12,1200,1.550322014
12,0,48,8,1,2200,1.739069456
12,0,41,8,12,1060,1.601253439
12,1,45,8,12,1200,1.624984009
12,0,43,8,9,1000,1.813758178
12,0,52,8,8,1200,1.701131399
12,0,75,8,1,788,1.769108727
12,0,54,2,12,3200,1.806796281
12,0,62,8,12,1000,1.599288505
12,1,44,2,16,1500,1.610938642
12,0,26,8,13,4500,1.713241919
12,0,43,8,15,5000,1.741508214
12,0,67,8,5,3000,1.624346687
12,0,53,8,12,7000,1.675160534
12,1,55,8,12,600,1.66988924
12,0,48,8,11,5000,1.682187067
12,1,43,8,16,2100,1.736979634
12,0,44,8,5,1200,1.653987773
12,0,44,8,13,4000,1.665311861
12,0,30,2,16,3000,1.69078756
12,0,59,8,1,900,1.903043765
12,0,48,8,12,2500,1.780343551
12,0,59,4,16,2500,1.691844987
12,1,43,8,16,2400,1.645095821
12,1,39,2,9,395,1.695038976
12,0,82,2,1,3000,1.756083329
12,1,25,8,15,788,1.692698235
12,1,39,8,16,1200,1.644775038
12,1,42,8,12,1500,1.682129008
12,0,41,8,12,1200,1.50684457
12,0,31,2,16,7000,1.667684281
12,0,29,4,13,3500,1.669819938
12,0,57,6,16,5000,1.732507074
12,0,21,4,12,1035,1.721694298
12,1,50,8,12,3000,1.669978243
12,1,48,8,12,788,1.669845325
12,0,27,8,16,4000,1.745076416
12,1,32,8,9,2000,1.737813818
12,0,38,2,12,8000,1.807323275
12,0,27,8,15,788,1.718019497
12,0,32,8,12,3000,1.648643365
12,1,40,8,14,880,1.70653186
12,0,40,8,12,788,1.635868783
12,1,22,8,13,600,1.695905825
12,0,46,2,1,4000,1.802037382
12,0,20,8,12,1000,1.656562648
12,0,50,2,1,3000,1.657692596
12,0,45,8,12,6000,1.659594983
12,1,63,2,12,1000,1.768949183
12,0,29,8,16,4000,1.668461329
12,0,29,4,9,700,1.849178753
12,0,58,8,5,1500,1.646596936
12,0,26,2,16,2500,1.731770029
12,0,46,8,16,3000,1.750894609
12,0,47,8,10,3000,1.636139079
13,0,34,8,5,700,1.687386736
13,0,36,8,6,700,1.633749671
13,0,30,8,10,1800,1.680178487
13,0,34,2,5,800,1.694387905
13,0,30,8,5,800,1.727204121
13,0,34,4,10,500,1.563588437
13,0,55,8,9,1000,1.539474653
13,0,23,8,4,800,1.731884104
13,0,37,8,9,800,1.621137933
13,0,49,2,8,1400,1.713599275
13,1,53,8,7,0,1.591816706
13,0,43,8,4,1200,1.717098412
13,1,57,8,5,788,1.711282427
13,1,46,8,12,1014,1.642817865
13,1,60,8,2,100,1.618751328
13,0,44,8,8,350,1.917510262
13,1,45,2,5,1000,1.58130587
13,0,33,8,12,900,1.549670273
13,0,41,8,11,900,1.681111685
13,0,59,8,16,3900,1.744820556
13,1,37,8,12,1500,1.731731504
13,1,28,8,12,600,1.752976339
13,0,51,8,12,1600,1.601177313
13,1,40,8,16,900,1.794557205
13,0,32,8,12,700,1.756385796
13,0,39,2,12,2500,1.828318763
13,0,42,8,6,900,1.828880222
13,0,26,8,6,600,1.645731156
13,0,28,8,3,500,1.770443122
13,1,32,8,4,150,1.835583965
13,0,38,8,12,900,1.605111336
13,1,68,8,1,400,1.713599083
13,0,61,8,6,450,1.645329861
13,0,46,8,12,500,1.71517099
13,0,40,8,12,2000,1.542751912
13,0,36,8,12,1100,1.754919002
13,0,60,8,6,788,1.776052518
13,0,53,8,5,2100,1.722114404
13,0,49,2,16,6500,1.640619468
13,0,24,8,5,600,1.733339623
13,0,47,8,3,400,1.595325246
13,0,28,8,3,800,1.616780791
13,0,60,8,1,350,1.696588685
13,0,34,8,3,200,1.783138316
13,0,52,8,5,200,1.681720759
13,0,44,8,1,400,1.834138516
13,0,42,8,9,788,1.543725406
13,0,54,8,1,450,1.711365253
13,0,53,8,5,789,1.663311877
13,0,51,8,3,800,1.665112121
13,0,30,8,9,800,1.506836101
13,0,42,8,6,900,1.590750523
13,0,63,8,9,500,1.736972774
13,0,23,8,12,800,1.658030346
13,1,42,8,12,780,1.591170841
13,1,36,8,9,1200,1.610993611
13,0,26,8,10,850,1.499404441
13,0,65,8,9,1200,1.69734325
13,0,22,8,3,600,1.629132025
13,0,36,8,9,500,1.742269532
13,0,38,8,9,700,1.523448889
13,0,57,8,12,788,1.695352075
13,0,51,8,5,788,1.618613831
13,0,28,8,8,900,1.80897486
13,1,44,8,9,1000,1.836248087
13,0,49,8,1,788,1.704493088
13,0,47,8,12,3000,1.753813012
13,0,46,8,16,3500,1.587134443
13,0,52,8,12,1090,1.675035092
13,0,32,2,12,1700,1.677455425
13,1,49,8,15,350,1.76747561
13,1,25,8,16,3000,1.67978115
13,0,58,8,12,3000,1.815052443
13,0,48,8,9,4812,1.690854668
13,1,34,8,12,788,1.731760577
13,0,38,2,12,1200,1.716741996
13,1,34,8,12,788,1.674766343
13,0,33,8,7,1200,1.603660014
13,1,37,8,12,1200,1.770187459
13,0,34,2,5,1200,1.712897622
13,0,48,8,4,1000,1.64846451
13,0,34,8,15,1200,1.627671223
13,0,60,8,9,1200,1.686023118
13,0,39,2,11,800,1.676983613
13,1,36,8,12,1000,1.64943971
13,1,45,8,9,788,1.646914249
13,0,43,2,11,2000,1.873562582
13,0,28,4,12,1000,1.790502646
13,0,31,8,5,1500,1.705985793
13,0,30,8,2,788,1.76496012
13,1,35,8,12,788,1.853650982
13,0,37,8,12,1200,1.884420292
13,0,42,8,9,788,1.616673891
14,1,36,8,12,500,1.588906265
14,1,49,8,1,600,1.848662132
14,1,46,8,13,2433,1.711700537
14,1,30,8,12,1500,1.766584842
14,0,57,2,1,300,1.911823384
14,0,50,4,1,788,1.679835371
14,1,32,8,6,500,1.653723592
14,0,58,2,5,300,1.692252847
14,0,63,8,10,6000,1.764627317
14,0,49,4,7,1500,1.789333184
14,0,48,8,6,400,1.728774438
14,1,39,8,1,788,1.771433227
14,0,54,8,6,1300,1.741407693
14,0,33,4,12,800,1.787516403
14,0,41,8,12,0,1.628463379
14,0,23,8,12,1100,1.7200842
14,0,32,8,4,350,1.793316156
14,1,49,4,9,741,1.826189122
14,0,20,4,11,70,1.599962026
14,0,56,0,8,1000,1.698436767
14,0,62,8,1,0,1.749506861
14,0,56,8,6,300,1.761677416
14,0,49,8,12,1500,1.740309828
14,0,36,8,6,500,1.631351621
14,0,40,8,4,1100,1.706070427
14,0,65,8,1,200,1.543583275
15,0,49,8,12,1200,1.660546479
15,0,41,8,8,1510,1.726097102
15,0,32,2,16,1250,1.798515535
15,0,26,8,7,1800,1.657452181
15,0,50,2,4,1300,1.719541621
15,0,45,2,9,1570,1.68766971
15,0,28,2,12,1480,1.703515659
15,1,36,8,16,1560,1.600107866
15,0,63,8,4,1700,1.691144995
15,0,48,8,1,200,1.679652442
15,0,61,2,6,650,1.576137267
15,0,50,4,2,400,1.632289637
15,0,45,2,12,1510,1.688605942
15,1,39,8,5,300,1.642238778
15,0,50,8,5,350,1.723099048
15,0,23,8,12,788,1.559765598
15,1,38,8,12,250,1.762145191
15,0,46,8,4,700,1.706480476
15,0,42,8,7,788,1.624044046
15,1,63,8,1,500,1.720889881
15,0,45,8,4,500,1.745060366
15,0,40,8,5,0,1.767236855
15,0,54,8,8,1000,1.551264442
15,0,67,8,8,600,1.608561233
15,1,47,8,13,2000,1.558752653
15,1,54,8,5,850,1.590537756
15,0,28,8,6,700,1.697479987
15,1,42,8,12,0,1.603394515
15,1,37,4,4,300,1.725404978
15,1,45,8,1,300,1.66328181
15,0,45,8,12,4000,1.780603504
15,1,23,2,12,440,1.593919303
15,1,35,8,12,395,1.748452965
15,0,39,8,8,500,1.722194313
15,0,40,8,12,3000,1.722319575
15,1,31,2,8,400,1.657096848
15,0,26,2,6,788,1.785160174
15,1,44,8,12,2500,1.648240703
15,0,45,8,8,1000,1.647492757
15,0,48,8,8,800,1.604181394
15,0,51,8,1,300,1.653955871
15,0,37,8,8,800,1.677708114
15,1,43,8,16,1553,1.69773091
15,1,58,8,16,1200,1.631940351
15,0,39,4,9,1200,1.630294635
15,0,37,4,4,750,1.900783591
15,0,69,8,2,300,1.807525665
15,0,48,8,1,700,1.658350841
15,0,59,2,1,400,1.682231537
15,0,17,8,11,600,1.593226923
15,1,38,2,10,700,1.659165922
15,0,40,2,8,1200,1.563859042
15,1,38,2,12,1200,1.659865309
15,0,42,8,11,1900,1.632417633
15,0,37,8,11,1450,1.757735829
15,0,39,4,12,900,1.588250187
15,0,35,8,12,1500,1.63429283
15,0,48,8,12,1180,1.716862793
15,1,49,4,4,350,1.819259949
15,0,36,8,5,900,1.83150008
15,0,53,8,4,780,1.733591258
15,0,29,2,8,1200,1.694094193
15,0,47,4,12,4000,1.581152655
15,0,34,8,12,1200,1.626383116
15,0,55,2,4,1500,1.618581749
15,1,50,8,7,2300,1.711189714
15,0,39,4,12,780,1.689009336
15,0,59,8,6,2300,1.659666494
15,0,29,8,5,700,1.704169012
15,0,33,4,9,1750,1.645212974
15,1,42,2,12,900,1.584429332
15,0,45,8,11,900,1.684634792
15,1,70,8,1,400,1.686469639
15,0,58,8,6,1400,1.721552695
15,0,53,8,5,780,1.825577226
15,0,57,8,5,1400,1.693801394
15,0,57,8,12,7000,1.742647783
15,1,37,8,16,1600,1.705061371
15,0,30,8,3,350,1.630280138
15,0,43,4,3,0,1.613041021
15,0,48,2,6,400,1.827276486
15,1,52,8,10,300,1.720920781
15,1,57,4,3,0,1.705881508
15,0,53,8,9,900,1.659427851
15,1,45,8,6,600,1.718828255
15,0,50,4,9,2300,1.616222329
15,0,41,4,1,780,1.651459755
15,0,40,4,4,0,1.616175577
15,0,40,2,9,780,1.642552171
15,0,59,8,16,7700,1.707727299
15,0,46,2,12,950,1.729064983
15,0,51,2,7,1450,1.727354127
15,0,37,4,5,1500,1.744038189
15,0,29,8,5,780,1.740316781
15,0,36,8,11,900,1.695378261
15,1,31,8,16,1200,1.713799421
15,1,57,2,5,1400,1.560364627
15,0,41,8,12,1000,1.722070281
15,0,63,8,4,788,1.620274222
15,0,42,8,7,5000,1.689082271
15,0,50,8,5,2000,1.737013234
15,0,35,8,10,5000,1.846890511
15,0,23,8,12,1200,1.660808869
15,1,85,8,5,30,1.665239508
15,0,35,8,12,2200,1.749705375
15,0,74,2,1,2000,1.792223909
15,0,34,8,9,2300,1.649039751
15,0,29,8,11,2000,1.523923578
15,0,24,8,12,2500,1.662886651
15,0,61,8,1,788,1.706731659
15,1,66,8,9,105,1.513162148
15,0,52,2,5,1576,1.888660321
15,0,31,8,6,2200,1.623626382
15,0,54,2,2,2500,1.571385332
15,0,36,8,16,10000,1.685748639
15,0,50,4,12,750,1.691225485
15,0,48,8,12,3200,1.730353841
15,1,37,8,16,1200,1.699118438
15,1,33,2,16,2115,1.783960352
15,0,24,8,12,788,1.784012771
15,0,28,8,12,3200,1.647676489
15,0,44,2,12,1576,1.719269587
15,0,34,8,12,1600,1.620770227
15,0,28,2,12,2000,1.699510545
15,0,29,2,12,2166,1.677737348
15,0,36,8,16,12000,1.612016147
15,1,33,6,12,500,1.804462601
15,1,34,8,11,1300,1.637368702
15,0,45,2,9,3000,1.73897109
15,0,60,8,12,1500,1.700832674
15,1,40,4,12,700,1.800788758
15,1,38,4,12,900,1.818812248
15,0,47,4,12,800,1.748603665
15,0,26,8,16,1600,1.581339936
15,0,24,2,11,900,1.605003657
15,0,53,8,14,3200,1.723875084
15,1,45,2,16,15000,1.771319192
15,0,39,8,16,2000,1.701240456
15,0,41,8,13,2500,1.777885241
15,1,37,8,12,860,1.686369342
15,0,36,8,9,830,1.749458782
15,0,54,8,16,4500,1.656154945
15,0,55,8,16,5000,1.831670478
15,1,43,8,12,1000,1.7133253
15,0,54,8,16,2300,1.797030271
15,0,62,8,9,788,1.735019613
15,1,35,8,12,1087,1.766425195
15,0,61,8,16,860,1.703125765
15,1,49,8,16,6000,1.67151209
15,0,29,4,16,2400,1.810258793
15,1,38,2,12,788,1.686198889
15,0,31,8,12,1038,1.647940716
15,0,56,8,1,900,1.690024147
15,0,55,8,16,980,1.697289371
15,1,51,8,9,788,1.59260026
15,0,30,2,12,1400,1.667352669
15,1,49,8,9,400,1.661175192
15,0,39,8,7,1000,1.624610664
15,0,60,8,1,788,1.571343989
15,0,64,8,12,1500,1.688959625
15,1,46,8,11,830,1.635799638
15,1,41,8,10,1500,1.742801594
15,1,31,8,10,1000,1.80406526
15,0,37,2,1,1200,1.702897249
15,0,49,8,15,3200,1.627856202
15,0,48,8,12,1576,1.744706946
15,1,48,8,1,788,1.767098677
15,0,40,4,12,2000,1.656421136
15,0,39,8,10,1000,1.543526432
15,1,29,8,14,1100,1.723027018
15,0,36,2,12,3940,1.712655986
15,0,48,8,12,800,1.679812957
15,0,55,8,12,8000,1.836293825
15,0,36,8,12,1040,1.615299489
15,0,28,2,15,1100,1.696749374
15,0,29,8,12,1200,1.583580191
15,0,65,8,9,850,1.501501403
15,1,37,8,10,788,1.714369458
15,0,36,8,13,2364,1.730943665
15,0,45,8,12,800,1.838051879
15,1,42,8,5,750,1.813508762
15,0,25,8,12,1000,1.741667958
15,1,64,8,6,350,1.701840381
15,0,51,8,7,800,1.751498785
15,0,37,8,9,1000,1.733697501
15,1,55,8,8,1200,1.625539881
15,0,52,8,6,1000,1.686581248
15,0,41,8,5,900,1.653675565
15,0,28,8,1,700,1.733470108
15,1,60,8,7,788,1.476905073
15,0,53,2,9,2400,1.814327483
15,0,37,8,12,788,1.72668022
15,1,26,8,9,394,1.698450877
15,0,41,2,12,1200,1.672561107
15,1,53,8,10,788,1.624243275
15,0,35,8,8,1500,1.639225567
15,0,45,8,9,1000,1.739961165
15,1,37,8,16,2242,1.756704153
15,0,31,8,5,788,1.656963814
15,1,53,8,1,788,1.74694605
15,1,32,8,12,788,1.732158514
15,0,30,8,12,1034,1.818312972
15,0,46,8,12,2500,1.686576252
15,0,33,8,12,1600,1.644597858
15,0,49,8,16,788,1.644238697
15,0,49,8,13,788,1.642816746
15,0,57,8,6,600,1.641631988
15,1,48,8,12,788,1.631085024
15,0,48,2,12,1200,1.767436476
15,0,51,8,2,800,1.730909683
15,0,59,8,5,788,1.682977973
15,0,49,8,2,400,1.700635348
15,0,30,8,5,550,1.600964797
15,0,66,4,5,1200,1.685345369
15,0,35,8,4,600,1.698357807
15,0,43,2,9,1000,1.665542508
15,1,52,8,9,1500,1.702504991
15,1,31,8,9,1200,1.796893225
15,0,45,8,6,400,1.620959094
15,0,64,8,1,400,1.66537543
15,0,40,8,1,1700,1.723923484
15,0,65,8,1,300,1.606871474
15,0,52,8,4,4000,1.784502899
15,0,39,4,4,1200,1.608597915
15,0,55,8,1,1000,1.624926814
15,0,25,4,9,800,1.723869494
15,0,25,8,17,1200,1.678030626
15,1,47,4,3,0,1.678718689
16,0,55,2,12,2200,1.704459689
16,1,44,8,16,2200,1.692560099
16,0,38,8,12,900,1.712487604
16,0,40,8,9,2300,1.666144411
16,1,29,2,9,1500,1.616209546
16,1,59,8,1,500,1.719717639
16,0,40,8,7,2000,1.728653621
16,0,38,8,4,2200,1.733632858
16,1,45,8,16,2200,1.642835239
16,0,55,8,6,2300,1.639288448
16,1,33,2,16,5000,1.704308424
16,0,21,2,12,950,1.717406465
16,0,48,8,12,1000,1.832908993
16,0,56,4,16,3500,1.739258064
16,1,44,8,3,1000,1.667452547
16,0,47,8,5,300,1.635023116
16,0,51,8,2,2000,1.692935269
16,0,34,8,12,1050,1.677237577
16,0,47,8,3,300,1.604303834
16,0,35,8,5,2000,1.808580075
16,0,43,8,4,500,1.769133265
16,0,45,8,9,800,1.674061179
16,1,68,8,9,940,1.717295895
16,1,34,8,6,600,1.613296292
16,0,28,8,12,2000,1.669376063
16,0,47,8,7,700,1.788437531
16,0,54,8,2,1200,1.487662906
16,0,37,2,12,1300,1.57787643
16,1,33,2,12,600,1.767598061
16,0,28,2,16,2443,1.700009631
16,0,44,8,16,1500,1.763356226
16,1,42,2,12,960,1.669205334
16,0,42,8,10,4500,1.74439135
16,1,62,8,7,788,1.714995308
16,1,53,2,12,2100,1.650408871
16,0,33,2,16,2400,1.848761537
16,0,52,8,5,1400,1.664366921
16,0,42,2,9,1600,1.524321562
16,1,39,8,9,1000,1.61100456
16,1,46,8,16,5988,1.655765401
16,0,19,8,6,500,1.807364467
16,0,36,4,8,500,1.641900799
16,0,46,2,7,1200,1.803847025
16,0,29,8,11,750,1.758033787
16,0,50,8,1,650,1.635079241
16,0,58,8,1,450,1.653113629
16,0,37,8,5,300,1.776500742
16,0,52,8,1,600,1.667315965
16,0,54,8,1,400,1.708226381
16,0,28,8,9,350,1.609901574
16,0,48,8,5,900,1.791785081
16,1,35,8,12,3150,1.746786143
16,1,35,8,16,3500,1.757946487
16,0,69,8,1,1200,1.578552242
16,0,75,8,1,2000,1.557696001
16,0,47,8,5,400,1.747331675
16,0,52,8,5,350,1.693861811
16,0,30,8,8,550,1.624551608
16,0,40,8,1,900,1.707874411
16,0,28,2,5,500,1.701948224
16,0,35,8,4,600,1.700322293
16,0,33,8,5,350,1.757890277
16,1,31,8,5,700,1.699352787
16,0,68,8,2,400,1.55163135
16,0,30,8,12,550,1.626228445
16,1,57,8,12,1600,1.589472388
16,0,33,8,12,800,1.739151964
16,1,30,8,12,800,1.642483468
16,0,44,8,5,600,1.685283638
16,1,37,8,12,1500,1.664120423
16,0,49,4,6,800,1.545610614
16,0,31,8,12,3500,1.778405228
16,0,52,4,9,1400,1.807476603
16,1,47,8,4,788,1.683359087
16,0,45,2,14,5946,1.806513131
16,1,55,8,9,250,1.571856934
16,0,37,8,12,1820,1.572607398
16,0,38,8,3,3951,1.723689923
16,0,21,8,9,1250,1.546439859
16,0,61,8,1,450,1.722388864
16,0,36,4,9,650,1.713913502
16,1,32,8,10,300,1.813335254
16,0,32,8,12,1200,1.693834458
16,0,36,8,9,780,1.554234478
16,0,43,8,12,2000,1.819815104
16,0,44,4,16,780,1.668567384
16,0,42,4,9,500,1.685951707
16,0,32,4,6,2325,1.697561004
16,0,27,4,11,3158,1.632757775
16,0,28,2,12,1150,1.747960174
16,0,54,4,1,796,1.711413394
16,1,27,8,7,395,1.564191648
16,0,37,8,9,2453,1.752116403
16,0,38,8,12,2100,1.629395903
16,1,41,2,13,2225,1.820540557
16,0,35,4,4,1170,1.73168556
16,0,45,8,9,826,1.655046067
16,1,32,8,12,880,1.663392103
16,0,26,8,8,1000,1.790814243
16,0,29,8,12,1321,1.768888554
16,0,57,8,5,2000,1.536953083
16,0,32,8,12,1600,1.674503693
16,0,42,8,5,500,1.557157638
16,1,48,8,12,250,1.700031965
16,1,37,8,12,1100,1.683592465
16,0,49,8,5,3500,1.681058971
16,0,44,8,11,1300,1.762648156
16,0,37,2,16,2600,1.730722834
16,1,32,2,12,2200,1.633005714
16,1,46,2,5,4000,1.652388107
16,0,33,2,16,2600,1.712997019
16,0,53,8,16,2200,1.672976792
16,1,52,2,12,2000,1.702487219
16,0,51,8,9,10000,1.790850207
16,1,46,8,16,2980,1.724019159
16,0,55,8,5,1550,1.749988124
16,1,60,8,12,2900,1.715283349
16,0,42,8,9,2100,1.552074434
16,0,30,4,9,1600,1.662681469
16,0,41,2,9,7500,1.794750628
16,1,39,2,12,900,1.69610449
16,0,36,8,12,1600,1.672205409
16,0,52,8,4,400,1.719630198
16,0,32,8,11,1100,1.659045032
16,0,34,8,6,900,1.712302566
16,0,51,4,11,4780,1.63415468
16,0,57,2,12,12530,1.652591785
16,1,23,8,12,1050,1.761855155
16,1,61,8,12,115,1.752007768
16,1,43,8,15,3113,1.711900495
16,0,38,8,5,1010,1.778054973
16,0,52,8,1,788,1.690606478
16,0,43,8,11,2568,1.563889843
16,1,34,8,10,788,1.754052597
16,0,27,8,3,788,1.702837459
16,0,21,8,12,788,1.790178025
16,1,43,8,12,180,1.779312063
16,0,40,4,5,1250,1.778537943
16,1,45,2,13,15580,1.587755856
16,0,23,8,12,1193,1.70766553
16,0,52,8,5,950,1.799931047
16,1,43,8,10,788,1.718733261
16,1,36,8,16,1500,1.810908094
16,0,61,8,5,4126,1.613863326
16,0,51,2,1,990,1.704695879
16,0,67,8,1,1800,1.675688675
16,0,38,8,16,1100,1.618849974
16,1,53,8,11,300,1.723752072
16,1,37,8,12,1400,1.631212483
16,0,46,2,16,3565,1.745010961
16,0,34,8,12,1575,1.838809727
16,1,24,8,16,1120,1.697632745
16,0,58,8,4,290,1.707091808
16,0,45,2,12,860,1.719864876
16,0,25,2,10,1576,1.725222516
16,0,61,8,4,788,1.718747
16,1,39,8,4,394,1.820008398
16,0,25,2,12,990,1.652059508
16,0,43,8,12,1200,1.766528238
16,1,43,8,13,420,1.731519586
16,0,47,8,10,1450,1.708254927
16,0,32,8,16,2200,1.849070097
16,0,44,2,16,2500,1.732947582
16,0,40,8,1,2300,1.812560371
16,0,31,8,11,2500,1.646744893
16,1,48,2,9,2200,1.666323533
16,0,33,8,12,2200,1.617112908
16,0,45,8,1,950,1.793879983
16,0,53,8,4,2800,1.85648376
16,0,26,4,12,800,1.668664938
16,0,23,2,12,1000,1.807498041
16,0,58,4,2,600,1.745797526
16,0,51,8,6,1100,1.514179823
16,1,55,8,3,700,1.695352061
16,1,34,8,12,800,1.591703175
16,1,27,8,15,1100,1.744713552
16,1,35,8,12,1600,1.676782444
16,0,30,2,16,2680,1.824072645
16,0,34,8,12,1840,1.753132964
16,0,62,8,9,780,1.623701407
16,1,29,8,12,788,1.697594229
16,1,34,8,16,1500,1.459949046
17,0,34,2,5,1300,1.680753212
17,0,41,8,8,2000,1.651024686
17,0,36,8,12,900,1.541024698
17,1,51,8,2,800,1.838459124
17,1,39,8,16,788,1.736328419
17,0,37,8,15,2000,1.654435326
17,1,50,8,2,200,1.959499995
17,1,60,8,9,800,1.608343637
17,0,70,8,9,900,1.74155597
17,0,58,8,10,730,1.746522263
17,1,39,8,12,788,1.749174541
17,0,27,2,9,1000,1.663966047
17,0,42,8,5,1800,1.730734732
17,0,52,8,1,600,1.60470578
17,0,62,2,1,450,1.638775821
17,0,61,4,4,0,1.677383084
17,0,39,8,4,500,1.740164625
17,0,55,4,9,4500,1.753931848
17,0,35,8,6,700,1.635127135
17,0,52,2,5,600,1.595613411
17,0,74,2,1,600,1.676537836
17,1,32,8,5,788,1.847822471
17,1,39,8,6,800,1.760429448
17,1,42,4,16,2000,1.70877632
17,1,36,8,9,500,1.835648877
17,0,35,8,12,950,1.704642364
17,0,36,2,7,1300,1.756402257
17,0,54,8,1,1850,1.605325327
17,0,39,2,4,1000,1.610329676
17,0,28,8,9,3000,1.724863069
17,0,49,2,1,600,1.751776456
17,0,49,8,16,2600,1.652917863
17,0,49,8,1,300,1.744047383
17,0,55,4,12,300,1.548682805
17,1,24,8,12,788,1.841942599
17,1,37,2,6,500,1.73985294
17,0,39,2,6,1000,1.617828085
17,0,62,2,5,788,1.629758711
17,1,46,8,12,400,1.609205338
17,1,46,2,12,3000,1.715561135
17,1,25,2,12,2500,1.751383418
17,1,47,8,11,900,1.745194543
17,1,39,8,16,788,1.795932383
17,0,35,2,12,1200,1.665850736
17,0,37,8,12,1700,1.796472755
17,0,25,4,12,4000,1.758435586
17,0,21,8,13,1400,1.611072726
17,1,33,2,12,1300,1.663896819
17,1,36,8,12,1550,1.765533846
17,1,22,8,12,788,1.834339775
17,1,35,4,12,900,1.733046103
17,0,36,4,6,788,1.658502082
17,0,64,8,2,850,1.813461236
17,0,49,2,11,800,1.766333186
17,1,45,8,15,3500,1.666875956
